word	TextCount	TextLength
abhidassana?	1	12
abhidassanan	1	12
abhide	1	6
abhidese	1	8
Abhidh	1	6
abhidhamati	2	11
abhidhameyya	2	12
Abhidhamma	16	10
ABHIDHAMMABH?JANIYA?	14	20
Abhidhammabh?janiya?	6	20
Abhidhammabh?jan?ya?	1	20
Abhidhammakatha?	1	16
abhidhammakatha?	7	16
abhidhamma?	7	11
Abhidhammañ	1	11
abhidhammañ	1	11
Abhidhammanayañño	1	17
abhidhammapadara?a?	1	19
Abhidhammapi?aka?	1	17
ABHIDHAMMAPI?AKE	2	16
Abhidhamme	12	10
abhidhamme	25	10
abhidhammehi	1	12
Abhidhammik?	1	12
?bhidhammiko	1	12
Abhidh?nappad?pik?	2	18
abhidh?rayi	1	11
abhidh?rayi?	2	12
abhidh?ray?ti	1	13
abhidh?riyissam	1	15
?bhidh?vare	1	11
abhidh?vata	1	11
abhidh?vat?	1	11
Abhidh?vatha	1	12
abhidh?vatha	5	12
Abhidh?vath?	1	12
abhidh?vath?	2	12
abhidh?vati	1	11
abhidh?vi	2	9
abhidhi	1	7
abhido	10	6
abhidosa	1	8
Abhidosagato	1	12
abhidosak?lakatabh?va?	1	22
Abhidosak?lakato	2	16
abhidosak?la?kato	2	17
abhidosa?	2	9
abhidose	3	8
?bhidosika?	9	11
?bhidosiko	3	10
abhigacchanti	1	13
abhigacchisu	1	12
Abhigajjam	1	10
abhigajjam	4	10
abhigajjanti	1	12
abhigajjanto	1	12
abhigajji?su	1	12
abhigajjiya	1	11
abhiga?hitv?	1	12
abhigantv?	2	10
Abhigantv?na	1	12
abhigantv?na	1	12
abhigata?	1	9
abhig?to	1	8
abhighu??ha?	1	12
abhighu??he	1	11
abhigijjheyya	1	13
?bhigijjheyya	1	13
abhig?ta?	1	9
abhig?tan	1	9
abhigu??he	1	10
abhigutto	1	9
abhiha	1	6
abhih?	1	6
abhihabhata	1	11
abhihacca	1	9
abhihanissati	1	13
abhihanti	1	9
abhihantum	1	10
abhihantv?	1	10
abhih?ram	4	9
abhih?ra?	2	9
abhih?rañ	1	9
abhih?r?na?	2	11
abhiharanti	6	11
abhiharantu	2	11
abhihar?petv?	1	13
abhiharati	17	10
abhih?raye	3	10
abhih?rayi	1	10
abhih?rayi?	1	11
Abhih?rayun	1	11
abhih?resi	2	10
